product_id,category_id,product_name,brand,unit_price,unit_cost,launch_date
1,1,Noise Cancelling Earbuds Pro,Apex,416.93,152.94,2023-01-03
2,1,Mechanical Keyboard,EcoWell,370.42,241.47,2019-11-08
3,1,Home Router Lite,Urbanix,72.62,27.94,2022-04-17
4,1,4K Smart TV,PrimeLine,378.89,284.69,2024-04-23
5,1,Home Router 2.0,Kindred,540.27,333.81,2019-12-30
6,1,Gaming Console 2.0,Luxora,136.01,77.44,2021-11-15
7,1,Wireless Headphones Plus,Kindred,305.02,175.62,2022-05-08
8,1,Portable Charger Plus,Bright & Co,104.47,60.1,2021-01-02
9,1,Mechanical Keyboard Lite,TrueForm,458.76,185.15,2020-02-04
10,1,Bluetooth Speaker Lite,PrimeLine,455.5,208.12,2019-04-03
11,1,Wireless Headphones Pro,CoreTech,381.14,244.98,2019-05-11
12,1,Bluetooth Speaker Pro,Nordic Home,1043.89,379.81,2023-06-05
13,1,Smartwatch Series 2.0,Apex,181.28,125.32,2022-09-30
14,1,Smartphone X Plus,Kindred,265.26,178.86,2021-09-17
15,1,Drone Mini Pro,Kindred,49.5,18.58,2020-06-01
16,1,Mechanical Keyboard Pro,CoreTech,471.41,266.7,2021-11-06
17,1,Bluetooth Speaker 2.0,Nordic Home,348.5,220.95,2024-04-23
18,1,Mechanical Keyboard 2.0,NovaCraft,843.06,311.18,2023-11-25
19,1,Gaming Console Pro,EcoWell,647.01,241.17,2019-06-26
20,1,Portable Charger Pro,NovaCraft,112.72,82.41,2020-10-12
21,1,Smartphone X Pro,PrimeLine,270.61,158.53,2023-07-16
22,1,Mechanical Keyboard Max,Bright & Co,251.19,145.92,2021-12-21
23,1,Smartphone X Max,Vertex,151.87,60.67,2019-05-30
24,1,Laptop Pro 14 2.0,Vertex,970.61,394.82,2020-02-02
25,1,Laptop Pro 14 Lite,EcoWell,18.12,7.18,2022-11-14
26,1,Digital Camera,Bright & Co,719.78,292.96,2019-05-29
27,1,Smartwatch Series Lite,Luxora,216.04,146.59,2023-09-23
28,1,Portable Charger 2.0,Apex,451.24,251.2,2019-05-08
29,1,Wireless Headphones Lite,Kindred,228.55,127.84,2022-12-30
30,1,Noise Cancelling Earbuds Lite,Luxora,675.7,256.84,2021-08-02
31,1,4K Smart TV 2.0,Apex,123.8,52.24,2023-03-02
32,1,Portable Charger Lite,TrueForm,556.88,226.7,2021-09-14
33,1,Wireless Mouse Lite,PrimeLine,410.55,211.48,2019-02-20
34,1,Noise Cancelling Earbuds Max,NovaCraft,64.15,47.62,2022-06-26
35,1,4K Smart TV Pro,Vertex,266.46,129.17,2023-12-21
36,1,Bluetooth Speaker Max,Nordic Home,198.2,103.47,2023-02-20
37,1,Home Router,Urbanix,135.01,95.38,2020-08-02
38,1,Gaming Console Lite,Stratus,185.06,68.68,2023-06-05
39,1,Digital Camera Plus,Zenova,665.33,255.19,2023-05-27
40,1,Laptop Pro 14 Plus,Everline,207.68,78.7,2021-12-14
41,1,Tablet Air 2.0,Urbanix,856.54,323.94,2020-09-28
42,1,Digital Camera 2.0,NovaCraft,79.58,48.47,2021-05-04
43,1,Smartwatch Series Pro,CoreTech,850.19,328.12,2019-01-14
44,1,Smartwatch Series,NovaCraft,398.22,206.75,2020-03-20
45,1,Smartphone X Lite,Stratus,94.57,52.35,2024-02-29
46,1,Noise Cancelling Earbuds 2.0,CoreTech,275.71,132.67,2022-11-07
47,1,Bluetooth Speaker,Apex,409.87,148.63,2024-04-08
48,1,4K Smart TV Plus,Luxora,213.69,104.45,2020-08-24
49,1,Digital Camera Lite,Urbanix,159.26,117.51,2022-05-04
50,1,Tablet Air Pro,Apex,280.35,203.56,2020-07-11
51,1,Smartwatch Series Plus,Apex,603.62,363.77,2019-10-17
52,1,Laptop Pro 14 Max,Luxora,551.06,198.33,2020-04-29
53,1,Wireless Mouse Plus,Nordic Home,660.65,270.49,2020-04-20
54,1,Tablet Air,Vertex,541.89,292.65,2022-06-18
55,1,Gaming Console,EcoWell,536.94,255.24,2019-06-30
56,1,Wireless Headphones 2.0,Vertex,596.59,334.94,2020-01-09
57,1,Laptop Pro 14 Pro,Everline,46.15,21.11,2022-09-17
58,1,Smartwatch Series Max,Zenova,23.89,11.55,2020-03-28
59,1,Wireless Mouse,CoreTech,405.75,259.84,2022-10-13
60,1,Digital Camera Max,Bright & Co,426.76,157.76,2019-10-03
61,1,Gaming Console Plus,Urbanix,205.42,139.72,2024-01-24
62,1,Drone Mini 2.0,CoreTech,593.03,351.55,2022-08-12
63,2,Wardrobe Max,Vertex,699.13,327.8,2021-11-25
64,2,Recliner Chair Lite,Nordic Home,144.73,100.53,2023-11-30
65,2,Bed Frame Queen,NovaCraft,811.38,360.67,2020-11-09
66,2,Sofa 3-Seater Plus,Apex,341.47,142.94,2023-11-30
67,2,Wardrobe Pro,NovaCraft,877.77,355.4,2022-07-08
68,2,Dining Table Lite,EcoWell,58.98,38.24,2023-12-03
69,2,Bookshelf Lite,Nordic Home,321.28,244.54,2019-07-22
70,2,Dining Table Max,PrimeLine,349.23,267.08,2019-11-18
71,2,Office Chair Max,Everline,518.42,221.75,2022-07-27
72,2,TV Stand Max,Kindred,221.65,93.59,2020-04-19
73,2,Dining Table Plus,Urbanix,323.11,133.53,2022-07-23
74,2,Recliner Chair,Nordic Home,778.39,340.44,2022-02-10
75,2,Sofa 3-Seater Max,Stratus,77.77,42.0,2020-06-14
76,2,Recliner Chair Max,Everline,279.76,101.38,2021-02-25
77,2,Bed Frame Queen 2.0,Everline,802.88,357.36,2023-05-09
78,2,Dining Table,Vertex,440.74,203.54,2021-09-12
79,2,Standing Desk Pro,Urbanix,195.75,82.12,2020-07-15
80,2,Office Chair Pro,Zenova,33.12,14.6,2019-12-21
81,2,TV Stand Pro,CoreTech,1028.13,376.48,2024-01-04
82,2,Bookshelf,Vertex,200.08,151.21,2024-01-31
83,2,Standing Desk Max,Everline,478.85,174.13,2024-04-11
84,2,Bed Frame Queen Pro,Zenova,595.55,341.94,2021-02-09
85,2,Standing Desk,Urbanix,605.76,341.2,2019-12-05
86,2,Bookshelf Max,Kindred,608.29,224.94,2022-10-24
87,2,Coffee Table Pro,Stratus,332.77,230.17,2022-05-15
88,2,Bed Frame Queen Lite,Everline,598.12,396.07,2021-11-02
89,2,Coffee Table Lite,PrimeLine,847.66,351.56,2022-10-26
90,2,Sofa 3-Seater 2.0,NovaCraft,519.55,282.48,2020-08-10
91,2,Sofa 3-Seater,Apex,816.68,324.7,2023-10-01
92,2,Recliner Chair Pro,Nordic Home,755.97,365.73,2021-09-30
93,2,Bed Frame Queen Plus,Nordic Home,728.73,320.33,2022-11-04
94,2,Office Chair Lite,PrimeLine,841.46,319.34,2020-11-06
95,2,Wardrobe 2.0,Everline,220.99,153.36,2022-03-02
96,2,Sofa 3-Seater Pro,Apex,38.37,19.2,2021-12-21
97,2,Bed Frame Queen Max,Kindred,258.37,118.18,2019-03-03
98,2,Sofa 3-Seater Lite,Zenova,50.04,19.75,2020-12-21
99,2,TV Stand,NovaCraft,114.98,55.19,2023-03-20
100,2,Bookshelf Plus,Apex,201.65,90.25,2019-06-20
101,2,Bookshelf 2.0,Zenova,53.29,25.41,2021-12-17
102,2,TV Stand Plus,Apex,613.48,256.78,2024-05-05
103,2,Office Chair 2.0,EcoWell,372.84,208.94,2023-05-10
104,2,Coffee Table,Kindred,219.31,111.98,2019-06-06
105,2,Dining Table 2.0,Stratus,41.19,15.01,2023-07-30
106,2,Standing Desk Plus,Stratus,535.59,279.91,2019-12-13
107,2,Bookshelf Pro,Nordic Home,111.9,66.79,2022-01-03
108,2,Coffee Table Plus,EcoWell,657.93,287.27,2020-07-13
109,2,Coffee Table 2.0,Apex,919.82,382.17,2022-01-13
110,2,Office Chair,Bright & Co,475.85,246.63,2020-05-10
111,2,TV Stand Lite,Bright & Co,354.82,145.61,2019-01-29
112,2,Office Chair Plus,Stratus,69.61,50.85,2019-03-23
113,2,Wardrobe Lite,Vertex,807.72,342.91,2021-08-06
114,2,Recliner Chair Plus,CoreTech,88.91,43.64,2021-08-04
115,2,Wardrobe,Bright & Co,143.21,73.41,2021-03-08
116,2,Standing Desk Lite,Nordic Home,559.24,248.26,2019-04-01
117,2,Standing Desk 2.0,NovaCraft,342.47,152.97,2021-10-03
118,2,TV Stand 2.0,PrimeLine,785.51,343.31,2019-11-22
119,2,Wardrobe Plus,EcoWell,74.41,32.87,2019-02-23
120,2,Recliner Chair 2.0,PrimeLine,640.67,236.38,2022-02-24
121,2,Dining Table Pro,Zenova,358.61,158.33,2021-07-05
122,2,Coffee Table Max,Luxora,598.09,220.52,2021-02-11
123,2,TV Stand Plus,Bright & Co,1022.46,384.67,2020-01-27
124,2,Bookshelf 2.0,Vertex,47.02,32.4,2019-02-06
125,3,Formal Shirt Pro,EcoWell,98.33,42.3,2019-05-23
126,3,Winter Coat Pro,TrueForm,336.32,131.0,2019-02-16
127,3,Denim Jeans Plus,Kindred,562.87,326.72,2019-08-25
128,3,Denim Jeans Max,Kindred,628.63,280.21,2023-10-21
129,3,Women's Dress Pro,Stratus,739.92,295.35,2020-07-18
130,3,Hooded Sweatshirt Plus,Everline,182.16,75.09,2023-06-02
131,3,Yoga Pants 2.0,Zenova,760.37,396.25,2021-01-14
132,3,Denim Jeans Lite,Kindred,564.52,311.68,2024-02-05
