target_id,region_id,target_month,target_revenue
1,1,2023-01-01,1225.76
2,1,2023-02-01,11246.0
3,1,2023-03-01,7551.19
4,1,2023-04-01,17538.77
5,1,2023-05-01,28810.82
6,1,2023-06-01,21769.18
7,1,2023-07-01,46370.4
8,1,2023-08-01,69786.6
9,1,2023-09-01,51530.63
10,1,2023-10-01,76137.4
11,1,2023-11-01,77930.16
12,1,2023-12-01,77946.68
13,1,2024-01-01,80045.94
14,1,2024-02-01,56343.46
15,1,2024-03-01,70515.26
16,1,2024-04-01,164791.4
17,1,2024-05-01,161459.86
18,1,2024-06-01,126977.98
19,1,2024-07-01,129014.21
20,1,2024-08-01,110596.72
21,1,2024-09-01,100556.01
22,1,2024-10-01,108265.05
23,1,2024-11-01,171787.24
24,1,2024-12-01,181185.14
25,1,2025-01-01,187858.21
26,1,2025-02-01,135583.9
27,1,2025-03-01,151624.23
28,1,2025-04-01,158083.95
29,1,2025-05-01,174407.07
30,1,2025-06-01,116939.15
31,1,2025-07-01,205673.07
32,1,2025-08-01,192208.49
33,1,2025-09-01,119811.46
34,1,2025-10-01,89919.52
35,1,2025-11-01,40930.07
36,1,2025-12-01,5109.63
37,2,2023-01-01,6548.3
38,2,2023-02-01,10651.45
39,2,2023-03-01,32289.91
40,2,2023-04-01,11033.11
41,2,2023-05-01,36701.8
42,2,2023-06-01,52860.39
43,2,2023-07-01,26768.45
44,2,2023-08-01,55061.73
45,2,2023-09-01,55766.74
46,2,2023-10-01,67714.26
47,2,2023-11-01,66603.44
48,2,2023-12-01,74570.73
49,2,2024-01-01,109456.76
50,2,2024-02-01,86116.29
51,2,2024-03-01,89556.63
52,2,2024-04-01,110467.54
53,2,2024-05-01,93231.8
54,2,2024-06-01,150354.72
55,2,2024-07-01,149441.82
56,2,2024-08-01,110740.82
57,2,2024-09-01,130466.67
58,2,2024-10-01,173606.23
59,2,2024-11-01,177426.29
60,2,2024-12-01,230393.48
61,2,2025-01-01,212090.28
62,2,2025-02-01,199334.73
63,2,2025-03-01,198338.42
64,2,2025-04-01,183302.09
65,2,2025-05-01,195748.75
66,2,2025-06-01,258559.22
67,2,2025-07-01,290819.82
68,2,2025-08-01,173698.93
69,2,2025-09-01,168785.68
70,2,2025-10-01,82719.32
71,2,2025-11-01,72167.64
72,2,2025-12-01,19006.81
73,3,2023-01-01,1420.79
74,3,2023-02-01,4001.49
75,3,2023-03-01,20932.0
76,3,2023-04-01,16037.18
77,3,2023-05-01,24358.24
78,3,2023-06-01,18998.94
79,3,2023-07-01,45977.2
80,3,2023-08-01,49015.46
81,3,2023-09-01,50434.71
82,3,2023-10-01,55958.3
83,3,2023-11-01,55792.85
84,3,2023-12-01,67955.45
85,3,2024-01-01,78078.32
86,3,2024-02-01,103572.65
87,3,2024-03-01,99908.65
88,3,2024-04-01,131364.3
89,3,2024-05-01,99162.32
90,3,2024-06-01,101155.18
91,3,2024-07-01,136923.03
92,3,2024-08-01,130165.5
93,3,2024-09-01,123683.0
94,3,2024-10-01,141796.76
95,3,2024-11-01,134651.52
96,3,2024-12-01,149901.7
97,3,2025-01-01,146870.72
98,3,2025-02-01,189925.94
99,3,2025-03-01,180693.18
100,3,2025-04-01,233899.07
101,3,2025-05-01,193409.63
102,3,2025-06-01,164742.39
103,3,2025-07-01,152011.1
104,3,2025-08-01,177398.84
105,3,2025-09-01,80786.93
106,3,2025-10-01,59904.65
107,3,2025-11-01,36116.58
108,3,2025-12-01,13179.07
109,4,2023-01-01,16943.46
110,4,2023-02-01,8843.96
111,4,2023-03-01,14476.22
112,4,2023-04-01,27191.05
113,4,2023-05-01,24066.33
114,4,2023-06-01,38333.91
115,4,2023-07-01,36566.5
116,4,2023-08-01,27329.01
117,4,2023-09-01,47927.58
118,4,2023-10-01,60066.62
119,4,2023-11-01,62428.99
120,4,2023-12-01,47363.04
121,4,2024-01-01,83325.6
122,4,2024-02-01,68916.65
123,4,2024-03-01,87237.83
124,4,2024-04-01,117193.19
125,4,2024-05-01,114324.43
126,4,2024-06-01,110952.2
127,4,2024-07-01,92669.63
128,4,2024-08-01,100566.58
129,4,2024-09-01,203711.35
130,4,2024-10-01,128250.75
131,4,2024-11-01,129919.17
132,4,2024-12-01,110252.1
133,4,2025-01-01,169053.56
134,4,2025-02-01,177096.03
135,4,2025-03-01,184656.29
136,4,2025-04-01,215580.45
137,4,2025-05-01,181089.3
138,4,2025-06-01,160221.85
139,4,2025-07-01,222267.45
140,4,2025-08-01,169291.22
141,4,2025-09-01,113977.17
142,4,2025-10-01,116340.61
143,4,2025-11-01,44990.3
144,4,2025-12-01,28553.92
145,5,2023-01-01,5065.45
146,5,2023-02-01,77.74
147,5,2023-03-01,19332.34
148,5,2023-04-01,15796.11
149,5,2023-05-01,34601.35
150,5,2023-06-01,26600.3
151,5,2023-07-01,31907.21
152,5,2023-08-01,58809.37
153,5,2023-09-01,41914.18
154,5,2023-10-01,65474.01
155,5,2023-11-01,68859.44
156,5,2023-12-01,88986.44
157,5,2024-01-01,55266.12
158,5,2024-02-01,89333.02
159,5,2024-03-01,118927.97
160,5,2024-04-01,150001.91
161,5,2024-05-01,96276.28
162,5,2024-06-01,153641.12
163,5,2024-07-01,105242.5
164,5,2024-08-01,118182.0
165,5,2024-09-01,136772.5
166,5,2024-10-01,149704.26
167,5,2024-11-01,156786.21
168,5,2024-12-01,159937.61
169,5,2025-01-01,159461.11
170,5,2025-02-01,199352.06
171,5,2025-03-01,205907.03
172,5,2025-04-01,205235.36
173,5,2025-05-01,254749.87
174,5,2025-06-01,170796.82
175,5,2025-07-01,238030.95
176,5,2025-08-01,162750.19
177,5,2025-09-01,152426.7
178,5,2025-10-01,110760.83
179,5,2025-11-01,48519.45
180,5,2025-12-01,21949.14
181,6,2023-01-01,4935.18
182,6,2023-02-01,8395.21
183,6,2023-03-01,23235.19
184,6,2023-04-01,41666.25
185,6,2023-05-01,42579.69
186,6,2023-06-01,26998.99
187,6,2023-07-01,43189.77
188,6,2023-08-01,59670.92
189,6,2023-09-01,75472.69
190,6,2023-10-01,40249.47
191,6,2023-11-01,71365.49
192,6,2023-12-01,76162.3
193,6,2024-01-01,99113.62
194,6,2024-02-01,67782.22
195,6,2024-03-01,82476.28
196,6,2024-04-01,97963.04
197,6,2024-05-01,110238.46
198,6,2024-06-01,92454.69
199,6,2024-07-01,110287.69
200,6,2024-08-01,123149.94
201,6,2024-09-01,128036.63
202,6,2024-10-01,162123.26
203,6,2024-11-01,156229.0
204,6,2024-12-01,151694.96
205,6,2025-01-01,160146.23
206,6,2025-02-01,159450.58
207,6,2025-03-01,170830.82
208,6,2025-04-01,136284.8
209,6,2025-05-01,232187.15
210,6,2025-06-01,160922.62
211,6,2025-07-01,185301.7
212,6,2025-08-01,149787.33
213,6,2025-09-01,151788.8
214,6,2025-10-01,93407.62
215,6,2025-11-01,49086.06
216,6,2025-12-01,22304.15
217,7,2023-01-01,1245.11
218,7,2023-02-01,16780.94
219,7,2023-03-01,16619.74
220,7,2023-04-01,23584.38
221,7,2023-05-01,29850.98
222,7,2023-06-01,33578.77
223,7,2023-07-01,43994.93
224,7,2023-08-01,58934.94
225,7,2023-09-01,46853.2
226,7,2023-10-01,54893.26
227,7,2023-11-01,86263.34
228,7,2023-12-01,78450.98
229,7,2024-01-01,114196.69
230,7,2024-02-01,85204.38
231,7,2024-03-01,88711.34
232,7,2024-04-01,111250.03
233,7,2024-05-01,134551.61
234,7,2024-06-01,159827.52
235,7,2024-07-01,67906.85
236,7,2024-08-01,164951.19
237,7,2024-09-01,138473.57
238,7,2024-10-01,147855.96
239,7,2024-11-01,154020.91
240,7,2024-12-01,175982.15
241,7,2025-01-01,183417.03
242,7,2025-02-01,176268.54
243,7,2025-03-01,222002.33
244,7,2025-04-01,140659.16
245,7,2025-05-01,163490.07
246,7,2025-06-01,229233.16
247,7,2025-07-01,175636.11
248,7,2025-08-01,196009.36
249,7,2025-09-01,228214.45
250,7,2025-10-01,84435.77
251,7,2025-11-01,62801.5
252,7,2025-12-01,23664.54
253,8,2023-01-01,2173.47
254,8,2023-02-01,11858.44
255,8,2023-03-01,17658.64
256,8,2023-04-01,20880.26
257,8,2023-05-01,29360.77
258,8,2023-06-01,29285.04
259,8,2023-07-01,40052.29
260,8,2023-08-01,52870.39
261,8,2023-09-01,47364.56
262,8,2023-10-01,54632.67
263,8,2023-11-01,57194.12
264,8,2023-12-01,60339.08
265,8,2024-01-01,91668.47
266,8,2024-02-01,69413.64
267,8,2024-03-01,124488.75
268,8,2024-04-01,101871.85
269,8,2024-05-01,151401.59
270,8,2024-06-01,115274.23
271,8,2024-07-01,154540.02
272,8,2024-08-01,130312.44
273,8,2024-09-01,141789.72
274,8,2024-10-01,144466.48
275,8,2024-11-01,175708.28
276,8,2024-12-01,156062.82
277,8,2025-01-01,157846.38
278,8,2025-02-01,118182.88
279,8,2025-03-01,192126.23
280,8,2025-04-01,214587.33
281,8,2025-05-01,222143.53
282,8,2025-06-01,226028.6
283,8,2025-07-01,177522.49
284,8,2025-08-01,149006.48
285,8,2025-09-01,95737.52
286,8,2025-10-01,124997.83
287,8,2025-11-01,62634.21
288,8,2025-12-01,18937.27
289,9,2023-01-01,2843.16
290,9,2023-02-01,14290.8
291,9,2023-03-01,17139.36
292,9,2023-04-01,26187.89
293,9,2023-05-01,30280.5
294,9,2023-06-01,31283.02
295,9,2023-07-01,29449.28
296,9,2023-08-01,46663.9
297,9,2023-09-01,41354.43
298,9,2023-10-01,48623.05
299,9,2023-11-01,75020.62
300,9,2023-12-01,69324.56
301,9,2024-01-01,68604.47
302,9,2024-02-01,94206.89
303,9,2024-03-01,83994.2
304,9,2024-04-01,120512.29
305,9,2024-05-01,107757.08
306,9,2024-06-01,98532.29
307,9,2024-07-01,123075.74
308,9,2024-08-01,104930.36
309,9,2024-09-01,141930.94
310,9,2024-10-01,156550.43
311,9,2024-11-01,168823.49
312,9,2024-12-01,150247.07
313,9,2025-01-01,144721.37
314,9,2025-02-01,239215.96
315,9,2025-03-01,137015.09
316,9,2025-04-01,176573.89
